student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,email_valid,phone_valid,profile_json_parsed,hobbies,skills,family,devices,skills_python,skills_excel,skills_sql,skills_soft,family_siblings,family_income_father,family_income_mother,device_types,device_brands,device_years,addr_city,addr_district,addr_postal
1,Claudia Short ,20,Unknown,87,+16193794152,Katieland,,2022-09-03 23:22:44,Data Science,100.0,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","{'hobbies': ['gun', 'nice'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 1}, 'soft': ['with', 'onto']}, 'family': {'siblings': 4, 'income': {'father': 1198, 'mother': 1089}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}",False,True,"{""hobbies"": [""gun"", ""nice""], ""skills"": {""tech"": {""python"": 2, ""excel"": 5, ""sql"": 1}, ""soft"": [""with"", ""onto""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1198, ""mother"": 1089}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2021}]}",gun|nice,"{""tech"": {""python"": 2, ""excel"": 5, ""sql"": 1}, ""soft"": [""with"", ""onto""]}","{""siblings"": 4, ""income"": {""father"": 1198, ""mother"": 1089}}","[{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2021}]",2.0,5.0,1.0,with|onto,4.0,1198.0,1089.0,laptop|phone,HP|Xiaomi,2021|2021,Tashkent,South Kevin district,100539
2,Unknown,20,Female,90,,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,Data Science,100.0,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,"{hobbies:['against', 'good']}",True,False,"{""hobbies"": [""against"", ""good""]}",against|good,,,,,,,,,,,,,,Tashkent,South Patricia,100332
3,Kathryn Moyer ,20,Unknown,90,,Lake Stevenmouth,,2017-08-14 00:00:00,Data Science,100.0,pending,3.06,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","{'hobbies': ['fast', 'clearly'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 1}, 'soft': ['despite', 'clearly']}, 'family': {'siblings': 1, 'income': {'father': 263, 'mother': 202}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}",False,False,"{""hobbies"": [""fast"", ""clearly""], ""skills"": {""tech"": {""python"": 5, ""excel"": 3, ""sql"": 1}, ""soft"": [""despite"", ""clearly""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 263, ""mother"": 202}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}",fast|clearly,"{""tech"": {""python"": 5, ""excel"": 3, ""sql"": 1}, ""soft"": [""despite"", ""clearly""]}","{""siblings"": 1, ""income"": {""father"": 263, ""mother"": 202}}","[{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]",5.0,3.0,1.0,despite|clearly,1.0,263.0,202.0,laptop|phone,HP|Samsung,2020|2023,Tashkent,Wendyshire,
4,Ruben Wilson,20,Female,81,,Port Pamelafort,,1973-09-17 00:00:00,Data Science,100.0,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","{'hobbies': ['left', 'role'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['full', 'series']}, 'family': {'siblings': 4, 'income': {'father': 508, 'mother': 698}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}",False,False,"{""hobbies"": [""left"", ""role""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 1}, ""soft"": [""full"", ""series""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 508, ""mother"": 698}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2024}]}",left|role,"{""tech"": {""python"": 3, ""excel"": 5, ""sql"": 1}, ""soft"": [""full"", ""series""]}","{""siblings"": 4, ""income"": {""father"": 508, ""mother"": 698}}","[{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2024}]",3.0,5.0,1.0,full|series,4.0,508.0,698.0,laptop|phone,Lenovo|Samsung,2020|2024,Tashkent,North Tamara district,100097
5,Robert Pruitt,20,Female,87,+11826595631,Kingburgh,,2023-11-25 00:00:00,Data Science,100.0,pending,3.06,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['sort', 'science'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 1}, 'soft': ['whose', 'save']}, 'family': {'siblings': 3, 'income': {'father': 862, 'mother': 1058}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",False,True,"{""hobbies"": [""sort"", ""science""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 1}, ""soft"": [""whose"", ""save""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 862, ""mother"": 1058}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2022}]}",sort|science,"{""tech"": {""python"": 1, ""excel"": 4, ""sql"": 1}, ""soft"": [""whose"", ""save""]}","{""siblings"": 3, ""income"": {""father"": 862, ""mother"": 1058}}","[{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2022}]",1.0,4.0,1.0,whose|save,3.0,862.0,1058.0,laptop|phone,Lenovo|Apple,2023|2022,,,
6,David Martinez,20,Male,90,+10748286016,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,Data Science,100.0,pending,3.06,average,85.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","{hobbies:['order', 'keep']}",True,True,"{""hobbies"": [""order"", ""keep""]}",order|keep,,,,,,,,,,,,,,Tashkent,North Jamesfurt district,100551
7,Unknown,18,Female,71,+13140180928,Sharpfurt,,1982-01-16 00:00:00,Data Science,100.0,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","{'hobbies': ['fall', 'teacher'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 4}, 'soft': ['teacher', 'good']}, 'family': {'siblings': 3, 'income': {'father': 1270, 'mother': 931}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",False,True,"{""hobbies"": [""fall"", ""teacher""], ""skills"": {""tech"": {""python"": 4, ""excel"": 1, ""sql"": 4}, ""soft"": [""teacher"", ""good""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 1270, ""mother"": 931}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2018}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]}",fall|teacher,"{""tech"": {""python"": 4, ""excel"": 1, ""sql"": 4}, ""soft"": [""teacher"", ""good""]}","{""siblings"": 3, ""income"": {""father"": 1270, ""mother"": 931}}","[{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2018}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]",4.0,1.0,4.0,teacher|good,3.0,1270.0,931.0,laptop|phone,HP|Xiaomi,2018|2023,Tashkent,Lake Tracishire,
8,Nicholas Dennis,21,Female,90,+18091556011,Matthewfort,,2000-06-26 00:00:00,Python,63.0,active,3.06,excellent,135.0,1978-09-23 00:00:00,"70576 Butler Harbor Suite 847, Janetberg",INVALID_JSON_DATA,False,True,,,,,,,,,,,,,,,,Janetberg,70576 Butler Harbor Suite 847,
9,Unknown,20,Female,77,+18549645423,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,Data Science,100.0,active,3.06,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","{'hobbies': ['require', 'open'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['partner', 'walk']}, 'family': {'siblings': 0, 'income': {'father': 850, 'mother': 1062}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}",True,True,"{""hobbies"": [""require"", ""open""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 4}, ""soft"": [""partner"", ""walk""]}, ""family"": {""siblings"": 0, ""income"": {""father"": 850, ""mother"": 1062}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}",require|open,"{""tech"": {""python"": 1, ""excel"": 5, ""sql"": 4}, ""soft"": [""partner"", ""walk""]}","{""siblings"": 0, ""income"": {""father"": 850, ""mother"": 1062}}","[{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]",1.0,5.0,4.0,partner|walk,0.0,850.0,1062.0,laptop|phone,Dell|Apple,2019|2020,Tashkent,Williamsborough,
10,Elizabeth Villegas,22,Female,87,+12054674476,South Dianatown,,2013-02-11 07:12:29,Data Science,99.0,inactive,3.7,average,215.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['management', 'to'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 4}, 'soft': ['beat', 'southern']}, 'family': {'siblings': 3, 'income': {'father': 597, 'mother': 1150}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",False,True,"{""hobbies"": [""management"", ""to""], ""skills"": {""tech"": {""python"": 1, ""excel"": 1, ""sql"": 4}, ""soft"": [""beat"", ""southern""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 597, ""mother"": 1150}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]}",management|to,"{""tech"": {""python"": 1, ""excel"": 1, ""sql"": 4}, ""soft"": [""beat"", ""southern""]}","{""siblings"": 3, ""income"": {""father"": 597, ""mother"": 1150}}","[{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]",1.0,1.0,4.0,beat|southern,3.0,597.0,1150.0,laptop|phone,Dell|Xiaomi,2016|2023,,,
